City,Country,Latitude,Longitude,Date,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
Atuona,PF,-9.8,-139.03,1586568765,82.45,82.45,75,11.34,84
Kapaa,US,22.08,-159.32,1586568766,76.73,78.8,57,14.99,20
Punta Arenas,CL,-53.15,-70.92,1586568496,37.2,37.4,93,8.05,40
Kunya,NG,12.22,8.53,1586568766,82.4,82.4,26,6.71,97
Saldanha,ZA,-33.01,17.94,1586568766,60.8,60.8,93,3.36,84
Kuching,MY,1.55,110.33,1586568766,80.31,80.6,88,1.12,20
Ushuaia,AR,-54.8,-68.3,1586568629,42.8,42.8,60,3.36,20
Mossamedes,AO,-15.2,12.15,1586568766,75.2,75.2,62,7.63,77
Jamestown,US,42.1,-79.24,1586568551,33.66,39.2,80,8.05,90
Dubbo,AU,-32.25,148.62,1586568767,69.8,69.8,52,19.46,40
Mataura,NZ,-46.19,168.86,1586568765,66.99,66.99,64,3.0,0
Norman Wells,CA,65.28,-126.83,1586568635,30.2,30.2,39,4.7,40
Mar del Plata,AR,-38.0,-57.56,1586568537,57.2,57.2,82,9.17,0
Sokoni,TZ,-6.43,39.55,1586568767,75.2,75.2,94,13.87,75
Saint Paul Harbor,US,57.79,-152.41,1586568768,39.2,39.2,69,8.05,1
Lompoc,US,34.64,-120.46,1586568636,59.88,63.0,82,14.99,20
East London,ZA,-33.02,27.91,1586568768,67.42,67.42,81,7.27,1
Yangi Marg`ilon,UZ,40.43,71.72,1586568768,50.0,50.0,53,2.24,100
Korla,CN,41.76,86.15,1586568769,62.17,62.17,19,5.91,66
Mount Gambier,AU,-37.83,140.77,1586568673,59.0,59.0,51,21.92,40
Torbay,CA,47.67,-52.73,1586568769,34.84,36.0,100,8.05,90
Leningradskiy,RU,69.38,178.42,1586568770,15.46,15.46,89,7.76,92
Ajdabiya,LY,30.76,20.23,1586568771,56.3,56.3,74,7.63,0
Srandakan,ID,-7.94,110.25,1586568771,85.23,85.23,68,2.98,13
Busselton,AU,-33.65,115.33,1586568771,78.98,82.99,33,7.25,51
Bluff,NZ,-46.6,168.33,1586568771,66.99,66.99,64,3.0,1
Kochi,IN,9.94,76.26,1586568771,78.8,78.8,94,4.59,40
The Valley,AI,18.22,-63.06,1586568755,80.53,81.0,78,5.82,20
Rikitea,PF,-23.12,-134.97,1586568773,77.65,77.65,74,9.86,14
Hilo,US,19.73,-155.09,1586568773,69.1,75.2,83,9.17,90
Sinnamary,GF,5.38,-52.95,1586568773,79.36,79.36,82,11.74,95
Pevek,RU,69.7,170.31,1586568773,10.26,10.26,89,20.31,100
Thompson,CA,55.74,-97.86,1586568773,30.2,30.2,58,3.36,90
Albany,US,42.6,-73.97,1586568774,38.41,42.8,52,14.99,40
Mumford,GH,5.26,-0.76,1586568774,80.04,80.04,84,7.43,83
Chicama,PE,-7.84,-79.15,1586568774,75.74,75.74,70,6.33,98
Puerto Ayora,EC,-0.74,-90.35,1586568774,80.83,82.4,74,3.36,20
Sakaiminato,JP,35.55,133.23,1586568775,53.6,53.6,50,3.36,20
Bredasdorp,ZA,-34.53,20.04,1586568778,58.12,59.0,93,1.12,100
Vaini,TO,-21.2,-175.2,1586568778,80.6,80.6,61,8.05,20
Kyshtovka,RU,56.55,76.63,1586568778,36.79,36.79,94,7.4,96
Yulara,AU,-25.24,130.99,1586568778,80.6,80.6,21,3.36,9
Arraial do Cabo,BR,-22.97,-42.03,1586568616,71.6,71.6,88,7.36,75
Anchorage,US,61.22,-149.9,1586568557,37.94,39.99,25,6.93,1
Hermanus,ZA,-34.42,19.23,1586568779,58.46,60.01,97,1.01,99
Visby,SE,57.64,18.3,1586568779,28.38,30.99,86,3.36,0
São Filipe,CV,14.9,-24.5,1586568779,75.15,75.15,73,8.25,76
Bethel,US,41.37,-73.41,1586568780,42.64,46.0,48,12.75,90
Cape Town,ZA,-33.93,18.42,1586568667,61.83,63.0,93,8.05,40
Pemangkat,ID,1.17,108.97,1586568780,82.47,82.47,73,6.06,48
Aklavik,CA,68.22,-135.01,1586568780,23.0,23.0,45,10.29,75
Sørland,NO,67.67,12.69,1586568780,33.89,33.89,82,12.82,100
Hasaki,JP,35.73,140.83,1586568780,56.82,59.0,35,3.36,20
Venezuela,VE,8.0,-66.0,1586568781,90.01,90.01,40,14.7,100
Islamkot,PK,24.7,70.18,1586568781,84.04,84.04,31,4.97,0
Sungai Raya,ID,0.7,108.9,1586568781,87.66,87.66,63,4.07,22
